Date;Tmin;Tmax;Pluie
10/08/2020;26;33;1,1
11/08/2020;25;33;1,1
12/08/2020;26;35;4,4
13/08/2020;26;33;9,1
14/08/2020;26;31;22,9
15/08/2020;27;33;0,4
16/08/2020;27;35;0,3
17/08/2020;27;35;0
18/08/2020;28;33;0
19/08/2020;27;33;0
20/08/2020;26;36;0
21/08/2020;27;33;1,9
22/08/2020;26;33;0,1
23/08/2020;26;32;0,2
24/08/2020;27;35;0
25/08/2020;27;33;0
26/08/2020;27;29;4,1
27/08/2020;26;31;26,8
28/08/2020;26;32;7,9
29/08/2020;26;33;0,1
30/08/2020;26;32;0,2
31/08/2020;25;33;0
01/09/2020;26;32;1,2
02/09/2020;26;30;22,5
03/09/2020;25;34;9,2
04/09/2020;25;32;18,1
05/09/2020;26;28;91,6
06/09/2020;25;30;24,4
07/09/2020;24;32;5,3
08/09/2020;26;34;4,9
09/09/2020;26;31;0,6
10/09/2020;27;37;2,7
11/09/2020;28;34;5,2
12/09/2020;26;34;6,4
13/09/2020;26;36;1,9
14/09/2020;27;37;0,1
15/09/2020;26;38;0
16/09/2020;27;34;0,1
17/09/2020;26;33;0
18/09/2020;26;33;0
19/09/2020;26;28;6,7
20/09/2020;25;32;1,7
21/09/2020;26;34;3,8
22/09/2020;26;36;0
23/09/2020;26;34;0
24/09/2020;25;33;1,2
25/09/2020;27;37;0,4
26/09/2020;27;36;0
27/09/2020;26;35;0
28/09/2020;26;34;0
29/09/2020;25;36;0
30/09/2020;26;38;0
01/10/2020;27;41;0
02/10/2020;26;43;0
03/10/2020;27;42;0
04/10/2020;26;35;1,4
05/10/2020;26;32;2,1
06/10/2020;26;33;5,6
07/10/2020;26;39;0
08/10/2020;28;42;0
09/10/2020;29;41;0
10/10/2020;26;37;0
11/10/2020;27;35;0
12/10/2020;26;35;0,4
13/10/2020;27;36;0,1
14/10/2020;27;37;0,1
15/10/2020;27;37;0
16/10/2020;26;41;0
17/10/2020;26;41;0
18/10/2020;27;42;0
19/10/2020;27;42;0
20/10/2020;29;41;0
21/10/2020;26;40;0
22/10/2020;25;39;0
23/10/2020;25;40;0
24/10/2020;27;41;0
25/10/2020;27;41;0
26/10/2020;26;41;0
27/10/2020;24;40;0
28/10/2020;24;40;0
29/10/2020;26;40;0
30/10/2020;26;39;0
31/10/2020;25;39;0
01/11/2020;24;39;0
02/11/2020;25;38;0
03/11/2020;26;39;0
04/11/2020;24;39;0
05/11/2020;24;36;0
06/11/2020;24;34;0,1
07/11/2020;25;39;0
08/11/2020;25;40;0
09/11/2020;25;39;0
10/11/2020;23;39;0
11/11/2020;24;39;0
12/11/2020;25;38;0
13/11/2020;24;37;0
14/11/2020;24;37;0
15/11/2020;23;38;0
16/11/2020;24;38;0
17/11/2020;24;38;0
18/11/2020;24;38;0
19/11/2020;23;37;0
20/11/2020;23;36;0
21/11/2020;24;37;0
22/11/2020;23;38;0
23/11/2020;24;38;0
24/11/2020;24;36;0
25/11/2020;21;34;0
26/11/2020;23;35;0
27/11/2020;19;33;0
28/11/2020;18;31;0
29/11/2020;19;33;0
30/11/2020;20;32;0
01/12/2020;21;34;0
02/12/2020;21;35;0
03/12/2020;20;35;0
04/12/2020;20;35;0
05/12/2020;20;35;0
06/12/2020;20;34;0
07/12/2020;19;32;0
08/12/2020;19;34;0
09/12/2020;19;34;0
10/12/2020;20;34;0
11/12/2020;20;36;0
12/12/2020;21;36;0
